strategy_id,year,global_contribution,m2_contribution,cash_yield_contribution,other_market_contribution,risk_timing_contribution,m2_selection_contribution,interaction_contribution,switching_contribution,cost_contribution,reconciliation_error,attribution_basis,policy_id,switch_mode,mechanism_attribution_method,strategy_switches,months_risk_score_0,months_risk_score_1,months_risk_score_2,months_risk_score_3,months_R1_BROAD_RISK_ON,months_R2_LEADERSHIP_RISK_ON,months_R3_ISOLATED_LEADERSHIP,months_R4_CAPITAL_PRESERVATION
M2_TOP7_CASH0_100,2024,0.0,0.10258440959798791,0.0,-1.4849232954361469e-15,,,,,-0.016700701642332283,0.0,ARITHMETIC_DAILY_RETURN_UNITS;AGGREGATE_COMPARATOR_MARKET_RETURN_EXPLICIT;COUNTERFACTUAL_MECHANISM_FIELDS_SEPARATE,M2_TOP7_CASH0_100,STATIC_MONTHLY,STATIC_ACCOUNTING_ONLY,0,12,0,0,0,0,12,0,0
M2_TOP7_CASH0_100,2025,0.0,0.440558204308807,0.0,0.0,,,,,-0.017240260164137045,0.0,ARITHMETIC_DAILY_RETURN_UNITS;AGGREGATE_COMPARATOR_MARKET_RETURN_EXPLICIT;COUNTERFACTUAL_MECHANISM_FIELDS_SEPARATE,M2_TOP7_CASH0_100,STATIC_MONTHLY,STATIC_ACCOUNTING_ONLY,0,7,1,3,1,0,8,4,0
M2_TOP7_CASH0_100,2026,0.0,0.16568853338842257,0.0,-1.4155343563970746e-15,,,,,-0.00943705624043234,0.0,ARITHMETIC_DAILY_RETURN_UNITS;AGGREGATE_COMPARATOR_MARKET_RETURN_EXPLICIT;COUNTERFACTUAL_MECHANISM_FIELDS_SEPARATE,M2_TOP7_CASH0_100,STATIC_MONTHLY,STATIC_ACCOUNTING_ONLY,0,7,1,0,0,0,8,0,0
M2_TOP7_CASH0_75_CASH25,2017,0.0,0.035363920108252615,0.0005351772680293924,-7.328122483829524e-16,,,,,-0.002998211006018936,0.0,ARITHMETIC_DAILY_RETURN_UNITS;AGGREGATE_COMPARATOR_MARKET_RETURN_EXPLICIT;COUNTERFACTUAL_MECHANISM_FIELDS_SEPARATE,M2_TOP7_CASH0_75_CASH25,STATIC_MONTHLY,STATIC_ACCOUNTING_ONLY,0,11,0,0,0,1,10,0,0
M2_TOP7_CASH0_75_CASH25,2018,0.0,-0.05276775326233682,0.0014082367049346092,-1.240327285323417e-15,,,,,-0.005181059590105841,0.0,ARITHMETIC_DAILY_RETURN_UNITS;AGGREGATE_COMPARATOR_MARKET_RETURN_EXPLICIT;COUNTERFACTUAL_MECHANISM_FIELDS_SEPARATE,M2_TOP7_CASH0_75_CASH25,STATIC_MONTHLY,STATIC_ACCOUNTING_ONLY,0,7,2,1,2,1,8,1,2
M2_TOP7_CASH0_75_CASH25,2019,0.0,0.1271415895050934,0.0017623559700049138,4.3324718812520757e-16,,,,,-0.00920655653142921,0.0,ARITHMETIC_DAILY_RETURN_UNITS;AGGREGATE_COMPARATOR_MARKET_RETURN_EXPLICIT;COUNTERFACTUAL_MECHANISM_FIELDS_SEPARATE,M2_TOP7_CASH0_75_CASH25,STATIC_MONTHLY,STATIC_ACCOUNTING_ONLY,0,9,1,2,0,1,9,2,0
M2_TOP7_CASH0_75_CASH25,2020,0.0,0.22681447000499422,0.0004720321050071976,8.158079246867178e-16,,,,,-0.008119688671814673,0.0,ARITHMETIC_DAILY_RETURN_UNITS;AGGREGATE_COMPARATOR_MARKET_RETURN_EXPLICIT;COUNTERFACTUAL_MECHANISM_FIELDS_SEPARATE,M2_TOP7_CASH0_75_CASH25,STATIC_MONTHLY,STATIC_ACCOUNTING_ONLY,0,2,4,4,2,0,6,5,1
M2_TOP7_CASH0_75_CASH25,2021,0.0,0.16564645956371032,0.00013646535299682876,1.662624031506521e-16,,,,,-0.009555134353740447,0.0,ARITHMETIC_DAILY_RETURN_UNITS;AGGREGATE_COMPARATOR_MARKET_RETURN_EXPLICIT;COUNTERFACTUAL_MECHANISM_FIELDS_SEPARATE,M2_TOP7_CASH0_75_CASH25,STATIC_MONTHLY,STATIC_ACCOUNTING_ONLY,0,12,0,0,0,0,12,0,0
M2_TOP7_CASH0_75_CASH25,2022,0.0,-0.0915974789492918,0.0034420523986720243,-4.831204880595408e-16,,,,,-0.010797904932977609,0.0,ARITHMETIC_DAILY_RETURN_UNITS;AGGREGATE_COMPARATOR_MARKET_RETURN_EXPLICIT;COUNTERFACTUAL_MECHANISM_FIELDS_SEPARATE,M2_TOP7_CASH0_75_CASH25,STATIC_MONTHLY,STATIC_ACCOUNTING_ONLY,0,0,6,5,1,2,4,4,2
M2_TOP7_CASH0_75_CASH25,2023,0.0,0.13073198508083103,0.011215398416724764,-1.925543058334256e-15,,,,,-0.009706020662595738,0.0,ARITHMETIC_DAILY_RETURN_UNITS;AGGREGATE_COMPARATOR_MARKET_RETURN_EXPLICIT;COUNTERFACTUAL_MECHANISM_FIELDS_SEPARATE,M2_TOP7_CASH0_75_CASH25,STATIC_MONTHLY,STATIC_ACCOUNTING_ONLY,0,7,5,0,0,2,10,0,0
