policy_id,window_id,cost_scenario,immediate_cagr,hysteresis_cagr,immediate_mdd,hysteresis_mdd,immediate_ulcer,hysteresis_ulcer,immediate_switches,hysteresis_switches,false_switches_avoided,reentry_delay_cost,status
POLICY_3_BALANCED_REGIME_STRATEGY,LATEST_FIVE_YEARS,DOUBLE,0.09236627497196048,0.09061256891728897,-0.1492707970110514,-0.1292110232185999,0.06743049036532231,0.060409987372225867,4.328018063583815,3.4835267341040463,,-0.001753706054671511,HYSTERESIS_RETAINS_95PCT
POLICY_3_BALANCED_REGIME_STRATEGY,LATEST_THREE_YEARS,BASE,0.19013508156838044,0.17924425160247037,-0.12702238049842052,-0.12702712726782484,0.034115372689530604,0.0349356126660127,4.328018063583815,3.4835267341040463,,-0.010890829965910065,HYSTERESIS_DESTRUCTIVE_UNLESS_INDEPENDENT_GATE_PASS
POLICY_3_BALANCED_REGIME_STRATEGY,LATEST_THREE_YEARS,DOUBLE,0.1830104651293365,0.17224755533558178,-0.12835080223913597,-0.12835868156635966,0.03489704267453345,0.03573834730091545,4.328018063583815,3.4835267341040463,,-0.010762909793754716,HYSTERESIS_DESTRUCTIVE_UNLESS_INDEPENDENT_GATE_PASS
POLICY_4_DEFENSIVE_REGIME_STRATEGY,FULL_COMMON_HISTORY,BASE,0.06751142002754729,0.059120462604620005,-0.1475839711241138,-0.1729117944796833,0.06833962011782331,0.07504739376599444,4.222456647398844,3.377965317919075,,-0.008390957422927281,HYSTERESIS_DESTRUCTIVE_UNLESS_INDEPENDENT_GATE_PASS
POLICY_4_DEFENSIVE_REGIME_STRATEGY,FULL_COMMON_HISTORY,DOUBLE,0.06024523640336099,0.05262554304645772,-0.15602593541118226,-0.17897975143348244,0.07327331205830763,0.08172023387476061,4.222456647398844,3.377965317919075,,-0.007619693356903268,HYSTERESIS_DESTRUCTIVE_UNLESS_INDEPENDENT_GATE_PASS
POLICY_4_DEFENSIVE_REGIME_STRATEGY,PRE_2020,BASE,0.01370397295034187,-0.001045814037998971,-0.14695859395894617,-0.1729117944796833,0.061490809035517034,0.08069294865275124,4.222456647398844,3.377965317919075,,-0.01474978698834084,HYSTERESIS_DESTRUCTIVE_UNLESS_INDEPENDENT_GATE_PASS
POLICY_4_DEFENSIVE_REGIME_STRATEGY,PRE_2020,DOUBLE,0.0065730032545778805,-0.007296080765206714,-0.1534930764324861,-0.1780791721094067,0.06783020690735918,0.08644391100950617,4.222456647398844,3.377965317919075,,-0.013869084019784594,HYSTERESIS_DESTRUCTIVE_UNLESS_INDEPENDENT_GATE_PASS
POLICY_4_DEFENSIVE_REGIME_STRATEGY,POST_2020,BASE,0.08950163177850867,0.08405812532934087,-0.1475839711241137,-0.14287858688255917,0.070840295604806,0.06741500242588135,4.222456647398844,3.377965317919075,,-0.005443506449167801,HYSTERESIS_DESTRUCTIVE_UNLESS_INDEPENDENT_GATE_PASS
POLICY_4_DEFENSIVE_REGIME_STRATEGY,POST_2020,DOUBLE,0.08225711179812589,0.07753474579565545,-0.15602593541118226,-0.14626034569653235,0.07525091208827034,0.07061009400238734,4.222456647398844,3.377965317919075,,-0.004722366002470446,HYSTERESIS_DESTRUCTIVE_UNLESS_INDEPENDENT_GATE_PASS
POLICY_4_DEFENSIVE_REGIME_STRATEGY,LATEST_FIVE_YEARS,BASE,0.09223477512050238,0.08841555099029508,-0.14758397112411392,-0.124386613318891,0.06715503519166738,0.06012824361137463,4.222456647398844,3.377965317919075,,-0.0038192241302072993,HYSTERESIS_RETAINS_95PCT
POLICY_4_DEFENSIVE_REGIME_STRATEGY,LATEST_FIVE_YEARS,DOUBLE,0.08464432710870873,0.0817531634722608,-0.15602593541118226,-0.12982526067124545,0.07234287151932942,0.06376409824339536,4.222456647398844,3.377965317919075,,-0.0028911636364479243,HYSTERESIS_RETAINS_95PCT
POLICY_4_DEFENSIVE_REGIME_STRATEGY,LATEST_THREE_YEARS,BASE,0.18226501331649891,0.167887947124002,-0.11019863205063074,-0.11020574019294094,0.03500261802291254,0.03649343752605819,4.222456647398844,3.377965317919075,,-0.014377066192496901,HYSTERESIS_DESTRUCTIVE_UNLESS_INDEPENDENT_GATE_PASS
