economic_exposure_family_id,economic_exposure_name,universe_tier,valid_return_observations,first_valid_date,last_valid_date,has_1_year,has_3_years,has_5_years,has_10_years,usable_history,validated_actual_implementation_history,requires_proxy_for_504_day_research,historical_eligibility_unresolved,a3_ready,a3_scope,selected_listing_count_through_time,validation_statuses
LATIN_AMERICA,Broad Latin American equities,EXTENDED,0,NOT_AVAILABLE,NOT_AVAILABLE,False,False,False,False,False,False,True,True,False,NOT_READY,0,NO_SELECTED_HISTORY
SILVER_PHYSICAL,Unleveraged silver exposure,EXPERIMENTAL,4737,2007-04-30,2026-08-21,True,True,True,True,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,2,PASS_PRICE_RETURN_ETC_VENDOR_SEMANTICS_NO_DISTRIBUTION
SOUTH_KOREA,Broad South Korean equities,EXPERIMENTAL,5026,2005-11-24,2026-08-21,True,True,True,True,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,3,PASS_EXPLICIT_DISTRIBUTION_RECONCILIATION;PASS_WITH_OPEN_EVENT_TOLERANCE_ITEMS
TAIWAN,Broad Taiwanese equities,EXPERIMENTAL,5006,2005-11-03,2026-08-21,True,True,True,True,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,4,PASS_EXPLICIT_DISTRIBUTION_RECONCILIATION;PASS_WITH_OPEN_EVENT_TOLERANCE_ITEMS
UK_BROAD_MARKET,Broad UK equities,CORE,3697,2011-04-26,2026-08-21,True,True,True,True,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,1,PASS_VENDOR_SEMANTICS_AND_ZERO_REPORTED_DISTRIBUTIONS
UK_GILTS_ALL,Broad UK government bonds,CORE,3427,2012-06-12,2026-08-21,True,True,True,True,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,2,PASS_EXPLICIT_DISTRIBUTION_RECONCILIATION
UK_GILTS_LONG,Long-duration UK government bonds,EXTENDED,0,NOT_AVAILABLE,NOT_AVAILABLE,False,False,False,False,False,False,True,True,False,NOT_READY,0,NO_SELECTED_HISTORY
UK_GILTS_SHORT,Short-duration UK government bonds,CORE,2033,2018-06-15,2026-08-21,True,True,True,False,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,2,PASS_EXPLICIT_DISTRIBUTION_RECONCILIATION
UK_INDEX_LINKED_GILTS,UK index-linked government bonds,EXTENDED,0,NOT_AVAILABLE,NOT_AVAILABLE,False,False,False,False,False,False,True,True,False,NOT_READY,0,NO_SELECTED_HISTORY
UK_LARGE_CAP,UK large-cap equities,CORE,6603,2000-05-05,2026-08-21,True,True,True,True,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,2,PASS_EXPLICIT_DISTRIBUTION_RECONCILIATION;PASS_WITH_OPEN_EVENT_TOLERANCE_ITEMS
UK_MID_CAP,UK mid-cap equities,CORE,5620,2004-04-01,2026-08-21,True,True,True,True,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,2,PASS_EXPLICIT_DISTRIBUTION_RECONCILIATION
UK_SMALL_CAP,UK small-cap equities,EXTENDED,3471,2010-11-03,2026-08-21,True,True,True,True,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,1,PASS_VENDOR_SEMANTICS_AND_ZERO_REPORTED_DISTRIBUTIONS
USD_OVERNIGHT_CASH,US-dollar overnight-rate exposure,EXTENDED,2228,2015-07-21,2026-08-21,True,True,True,False,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,2,PASS_VENDOR_SEMANTICS_AND_ZERO_REPORTED_DISTRIBUTIONS
US_AEROSPACE_DEFENCE,Aerospace and defence businesses,EXTENDED,329,2025-04-29,2026-08-21,True,False,False,False,True,True,True,True,False,NOT_READY,1,PASS_VENDOR_SEMANTICS_AND_ZERO_REPORTED_DISTRIBUTIONS
US_AI,Artificial-intelligence value chain,EXPERIMENTAL,0,NOT_AVAILABLE,NOT_AVAILABLE,False,False,False,False,False,False,True,True,False,NOT_READY,0,NO_SELECTED_HISTORY
US_BANKS,Us banking industry,EXTENDED,1974,2018-06-01,2026-08-21,True,True,True,False,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,2,PASS_EXPLICIT_DISTRIBUTION_RECONCILIATION;PASS_VENDOR_SEMANTICS_AND_ZERO_REPORTED_DISTRIBUTIONS
US_BROAD_LARGE_CAP,Broad US large-cap equities,CORE,6167,2002-03-22,2026-08-21,True,True,True,True,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,2,PASS_EXPLICIT_DISTRIBUTION_RECONCILIATION;PASS_VENDOR_SEMANTICS_AND_ZERO_REPORTED_DISTRIBUTIONS
US_BROAD_LARGE_CAP_EUR_HEDGED,Broad US large-cap equities hedged to EUR,EXTENDED,3857,2010-11-09,2026-08-21,True,True,True,True,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,1,PASS_VENDOR_SEMANTICS_AND_ZERO_REPORTED_DISTRIBUTIONS
US_BROAD_LARGE_CAP_GBP_HEDGED,Broad US large-cap equities hedged to GBP,EXTENDED,3944,2010-11-03,2026-08-21,True,True,True,True,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,1,PASS_VENDOR_SEMANTICS_AND_ZERO_REPORTED_DISTRIBUTIONS
US_COMMUNICATION_SERVICES,Broad communication-services sector,EXTENDED,1381,2021-02-02,2026-08-21,True,True,True,False,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,1,PASS_EXPLICIT_DISTRIBUTION_RECONCILIATION
US_CONSUMER_STAPLES,Broad consumer-staples sector,CORE,2777,2015-07-14,2026-08-21,True,True,True,True,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,1,PASS_VENDOR_SEMANTICS_NO_EVENT_AVAILABLE
US_FINANCIALS,Broad global financials sector,CORE,3765,2010-02-18,2026-08-21,True,True,True,True,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,2,PASS_VENDOR_SEMANTICS_NO_EVENT_AVAILABLE
US_HEALTHCARE,Broad global healthcare sector,CORE,2775,2015-07-14,2026-08-21,True,True,True,True,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,2,PASS_VENDOR_SEMANTICS_NO_EVENT_AVAILABLE
US_NASDAQ_100,US Nasdaq-100 large-cap growth-biased equities,CORE,4752,2005-08-30,2026-08-21,True,True,True,True,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,1,PASS_EXPLICIT_DISTRIBUTION_RECONCILIATION
US_SMALL_CAP,US small-cap equities,CORE,3328,2011-11-30,2026-08-21,True,True,True,True,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,3,PASS_VENDOR_SEMANTICS_NO_EVENT_AVAILABLE
US_TOTAL_MARKET,Broad all-cap US equities,CORE,3295,2013-05-14,2026-08-21,True,True,True,True,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,3,PASS_EXPLICIT_DISTRIBUTION_RECONCILIATION;PASS_VENDOR_SEMANTICS_AND_ZERO_REPORTED_DISTRIBUTIONS
US_TOTAL_MARKET_GBP_HEDGED,Broad all-cap US equities hedged to GBP,EXTENDED,0,NOT_AVAILABLE,NOT_AVAILABLE,False,False,False,False,False,False,True,True,False,NOT_READY,0,NO_SELECTED_HISTORY
