listing_id,share_class_id,fund_entity_id,economic_exposure_family_id,duplicate_group_id,isin,provider_issuer,ticker,mic,listing_currency,price_unit,accumulating_distributing,hedged_unhedged,ter_ocf_percent,current_investability_state,broker_status,implementation_evidence_confidence,implementation_selection_status,warning,implementation_evidence_order
LIST-6D61E91E0F78BA2B,SC-9B142D6E25D04FCE,FUND-C758EFEBA9C7F622,CHINA_BROAD,DUP-CHINA_BROAD,FR0011720911,AMUNDI,CNAA,XLON,USD,USD,ACCUMULATING,UNHEDGED,NOT_AVAILABLE,CURRENT_CANDIDATE_UNVERIFIED,NOT_CHECKED,MEDIUM,CANDIDATE_ONLY_NO_TRADE_OR_PORTFOLIO_SELECTION,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,6
LIST-99C99C17CA9A64D4,SC-540192216A0B021A,FUND-B756E6B19C71172A,CHINA_BROAD,DUP-CHINA_BROAD,IE0007P4PBU1,HSBC,HCHA,XLON,USD,USD,ACCUMULATING,UNHEDGED,NOT_AVAILABLE,CURRENT_CANDIDATE_UNVERIFIED,NOT_CHECKED,MEDIUM,CANDIDATE_ONLY_NO_TRADE_OR_PORTFOLIO_SELECTION,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,7
LIST-E492762C3B10C11A,SC-496AE12DB747BB41,FUND-F26C5F58336A1D6C,CHINA_BROAD,DUP-CHINA_BROAD,IE00BK80XL30,INVESCO,MCHN,XLON,USD,USD,ACCUMULATING,UNHEDGED,NOT_AVAILABLE,CURRENT_CANDIDATE_UNVERIFIED,NOT_CHECKED,MEDIUM,CANDIDATE_ONLY_NO_TRADE_OR_PORTFOLIO_SELECTION,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,8
LIST-376048A636B6BA6B,SC-2ED209BD4C1472B9,FUND-B756E6B19C71172A,CHINA_BROAD_USD_HEDGED,DUP-CHINA_BROAD_USD_HEDGED,IE0007HPIXG8,HSBC,HCAU,XLON,USD,USD,NOT_DETERMINED,HEDGED,NOT_AVAILABLE,CURRENT_CANDIDATE_UNVERIFIED,NOT_CHECKED,MEDIUM,CANDIDATE_ONLY_NO_TRADE_OR_PORTFOLIO_SELECTION,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,1
LIST-748C5522346E9D79,SC-CE7E9BA38CBE16F8,FUND-00EB340FCEBC3AF9,CHINA_INTERNET,DUP-CHINA_INTERNET,IE00BMW13836,KRANESHARES,KWBP,XLON,GBP,GBX,NOT_DETERMINED,UNHEDGED,NOT_AVAILABLE,CURRENT_CANDIDATE_UNVERIFIED,NOT_CHECKED,MEDIUM,CANDIDATE_ONLY_NO_TRADE_OR_PORTFOLIO_SELECTION,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,1
LIST-CD00F12D342F6ED6,SC-CB17481BB120039D,FUND-00EB340FCEBC3AF9,CHINA_INTERNET,DUP-CHINA_INTERNET,IE000CD5SH30,KRANESHARES,KWBH,XLON,GBP,GBX,NOT_DETERMINED,UNHEDGED,NOT_AVAILABLE,CURRENT_CANDIDATE_UNVERIFIED,NOT_CHECKED,MEDIUM,CANDIDATE_ONLY_NO_TRADE_OR_PORTFOLIO_SELECTION,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,2
LIST-21D764C192F668A2,SC-DDAA0C8B676D50AE,FUND-00EB340FCEBC3AF9,CHINA_INTERNET,DUP-CHINA_INTERNET,IE0009ZB3ZX2,KRANESHARES,KWBI,XLON,USD,USD,NOT_DETERMINED,UNHEDGED,NOT_AVAILABLE,CURRENT_CANDIDATE_UNVERIFIED,NOT_CHECKED,MEDIUM,CANDIDATE_ONLY_NO_TRADE_OR_PORTFOLIO_SELECTION,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,3
LIST-8BCDDB9776628D8A,SC-64AAE730428DECDB,FUND-00EB340FCEBC3AF9,CHINA_INTERNET,DUP-CHINA_INTERNET,IE000K3YPA16,KRANESHARES,KWEH,XLON,EUR,EUR,NOT_DETERMINED,UNHEDGED,NOT_AVAILABLE,CURRENT_CANDIDATE_UNVERIFIED,NOT_CHECKED,MEDIUM,CANDIDATE_ONLY_NO_TRADE_OR_PORTFOLIO_SELECTION,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,4
LIST-9F6D1E511A87DB3D,SC-BABC716018E5B102,FUND-12C5018C9F5DCE7E,DEVELOPED_ASIA_PACIFIC,DUP-DEVELOPED_ASIA_PACIFIC,IE00B4WXJD03,ISHARES,SPXJ,XLON,GBP,GBX,DISTRIBUTING,UNHEDGED,0.6000,CURRENTLY_INVESTABLE,NOT_CHECKED,HIGH,CANDIDATE_ONLY_NO_TRADE_OR_PORTFOLIO_SELECTION,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,1
LIST-3D8F5FA30E80506F,SC-BABC716018E5B102,FUND-12C5018C9F5DCE7E,DEVELOPED_ASIA_PACIFIC,DUP-DEVELOPED_ASIA_PACIFIC,IE00B4WXJD03,ISHARES,IPXJ,XLON,USD,USD,DISTRIBUTING,UNHEDGED,0.6000,CURRENTLY_INVESTABLE,NOT_CHECKED,HIGH,CANDIDATE_ONLY_NO_TRADE_OR_PORTFOLIO_SELECTION,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,2
