economic_exposure_family_id,rotation_role,rotation_pool,signal_horizon_sessions,old_valid_observations,old_first_valid_date,old_last_valid_date,a2r2_valid_observations,a2r2_first_valid_date,a2r2_last_valid_date,modern_coverage_restored,affected_by_old_defect,root_cause_family_code
EUROPE_BROAD,BROAD_GEOGRAPHY_ROTATION,POOL_BROAD_GEOGRAPHY_PRIMARY,252,532,2014-12-15,2017-01-23,3092,2014-05-06,2026-08-21,True,True,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
EUROPE_COMMUNICATION_SERVICES,SECTOR_ROTATION,POOL_EUROPE_BROAD_SECTORS,21,270,2021-02-04,2026-08-21,482,2021-02-01,2026-08-21,True,False,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
EUROPE_COMMUNICATION_SERVICES,SECTOR_ROTATION,POOL_EUROPE_BROAD_SECTORS,42,176,2025-07-24,2026-08-21,369,2021-03-02,2026-08-21,True,False,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
EUROPE_COMMUNICATION_SERVICES,SECTOR_ROTATION,POOL_EUROPE_BROAD_SECTORS,63,113,2025-08-22,2026-08-21,294,2021-04-06,2026-08-21,True,False,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
EUROPE_COMMUNICATION_SERVICES,SECTOR_ROTATION,POOL_EUROPE_BROAD_SECTORS,126,48,2026-02-23,2026-05-01,212,2025-10-21,2026-08-21,True,True,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
EUROPE_COMMUNICATION_SERVICES,SECTOR_ROTATION,POOL_EUROPE_BROAD_SECTORS,252,0,,,86,2026-04-22,2026-08-21,True,True,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
EUROPE_CONSUMER_DISCRETIONARY,SECTOR_ROTATION,POOL_EUROPE_BROAD_SECTORS,21,2184,2015-01-14,2026-08-21,2810,2015-01-15,2026-08-21,True,False,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
EUROPE_CONSUMER_DISCRETIONARY,SECTOR_ROTATION,POOL_EUROPE_BROAD_SECTORS,42,1701,2015-02-12,2026-08-21,2747,2015-02-13,2026-08-21,True,False,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
EUROPE_CONSUMER_DISCRETIONARY,SECTOR_ROTATION,POOL_EUROPE_BROAD_SECTORS,63,1255,2015-03-13,2026-08-21,2685,2015-03-16,2026-08-21,True,False,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
EUROPE_CONSUMER_DISCRETIONARY,SECTOR_ROTATION,POOL_EUROPE_BROAD_SECTORS,126,632,2015-06-16,2026-05-01,2496,2015-06-17,2026-08-21,True,True,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
EUROPE_CONSUMER_DISCRETIONARY,SECTOR_ROTATION,POOL_EUROPE_BROAD_SECTORS,252,282,2015-12-10,2017-01-23,2118,2015-12-11,2026-08-21,True,True,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
EUROPE_CONSUMER_STAPLES,SECTOR_ROTATION,POOL_EUROPE_BROAD_SECTORS,21,2190,2015-01-14,2026-08-21,2799,2015-01-15,2026-08-21,True,False,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
EUROPE_CONSUMER_STAPLES,SECTOR_ROTATION,POOL_EUROPE_BROAD_SECTORS,42,1703,2015-02-12,2026-08-21,2736,2015-02-13,2026-08-21,True,False,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
EUROPE_CONSUMER_STAPLES,SECTOR_ROTATION,POOL_EUROPE_BROAD_SECTORS,63,1253,2015-03-13,2026-08-21,2673,2015-03-16,2026-08-21,True,False,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
EUROPE_CONSUMER_STAPLES,SECTOR_ROTATION,POOL_EUROPE_BROAD_SECTORS,126,632,2015-06-16,2026-05-01,2484,2015-06-17,2026-08-21,True,True,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
EUROPE_CONSUMER_STAPLES,SECTOR_ROTATION,POOL_EUROPE_BROAD_SECTORS,252,282,2015-12-10,2017-01-23,2106,2015-12-11,2026-08-21,True,True,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
EUROPE_ENERGY,SECTOR_ROTATION,POOL_EUROPE_BROAD_SECTORS,21,1008,2020-10-28,2026-08-21,1441,2018-05-24,2026-08-21,True,False,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
EUROPE_ENERGY,SECTOR_ROTATION,POOL_EUROPE_BROAD_SECTORS,42,736,2021-02-26,2026-08-21,1360,2020-10-23,2026-08-21,True,False,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
EUROPE_ENERGY,SECTOR_ROTATION,POOL_EUROPE_BROAD_SECTORS,63,490,2021-03-29,2026-08-21,1301,2020-11-23,2026-08-21,True,False,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
EUROPE_ENERGY,SECTOR_ROTATION,POOL_EUROPE_BROAD_SECTORS,126,182,2022-07-06,2026-05-01,1128,2021-02-23,2026-08-21,True,True,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
EUROPE_ENERGY,SECTOR_ROTATION,POOL_EUROPE_BROAD_SECTORS,252,0,,,917,2023-01-06,2026-08-21,True,True,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
EUROPE_EX_UK,BROAD_GEOGRAPHY_ROTATION,POOL_REGIONAL_SATELLITES,21,1606,2017-12-08,2026-08-21,2239,2017-09-18,2026-08-21,True,False,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
EUROPE_EX_UK,BROAD_GEOGRAPHY_ROTATION,POOL_REGIONAL_SATELLITES,42,1150,2018-01-11,2026-08-21,2221,2017-10-16,2026-08-21,True,False,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
EUROPE_EX_UK,BROAD_GEOGRAPHY_ROTATION,POOL_REGIONAL_SATELLITES,63,742,2018-02-09,2026-08-21,2204,2017-11-14,2026-08-21,True,False,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
EUROPE_EX_UK,BROAD_GEOGRAPHY_ROTATION,POOL_REGIONAL_SATELLITES,126,233,2019-02-25,2026-05-01,2141,2018-02-14,2026-08-21,True,True,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
EUROPE_EX_UK,BROAD_GEOGRAPHY_ROTATION,POOL_REGIONAL_SATELLITES,252,0,,,2015,2018-08-15,2026-08-21,True,True,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
EUROPE_FINANCIALS,SECTOR_ROTATION,POOL_EUROPE_BROAD_SECTORS,21,2323,2015-01-14,2026-08-21,2903,2015-01-15,2026-08-21,True,False,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
EUROPE_FINANCIALS,SECTOR_ROTATION,POOL_EUROPE_BROAD_SECTORS,42,1840,2015-02-12,2026-08-21,2861,2015-02-13,2026-08-21,True,False,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
EUROPE_FINANCIALS,SECTOR_ROTATION,POOL_EUROPE_BROAD_SECTORS,63,1385,2015-03-13,2026-08-21,2819,2015-03-16,2026-08-21,True,False,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
EUROPE_FINANCIALS,SECTOR_ROTATION,POOL_EUROPE_BROAD_SECTORS,126,802,2015-06-16,2026-05-01,2693,2015-06-17,2026-08-21,True,True,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
EUROPE_FINANCIALS,SECTOR_ROTATION,POOL_EUROPE_BROAD_SECTORS,252,432,2015-12-10,2017-08-25,2441,2015-12-11,2026-08-21,True,True,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
