economic_exposure_family_id,economic_exposure_name,preferred_or_alternate,isin,ticker,exchange,mic,listing_currency,price_unit,instrument_type,product_structure,ucits_status,LSE_current_status,UK_retail_disclosure_status,public_ISA_rules_status,current_investability_state,public_evidence_URLs,public_evidence_date,public_evidence_confidence,warning,current_eligibility_not_historical
EUROPE_ENERGY,Broad Europe energy sector,ALTERNATE,IE00BKWQ0F09,ENGY,LONDON STOCK EXCHANGE,XLON,EUR,EUR,ETF,UCITS_ETF,UCITS_CONFIRMED_PRIMARY_EVIDENCE,CONFIRMED,CURRENT_DISCLOSURE_CONFIRMED,RULES_ELIGIBLE,CURRENT_CANDIDATE_UNVERIFIED,https://www.ssga.com/ie/en_gb/institutional/etfs/state-street-spdr-msci-europe-energy-ucits-etf-stn-fp,2026-08-22,HIGH_PRIMARY_ISSUER_AND_EXACT_ACTIVE_CATALOGUE,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,YES
EUROPE_ENERGY,Broad Europe energy sector,PREFERRED,IE00BKWQ0F09,ENGE,LONDON STOCK EXCHANGE,XLON,GBP,GBP,ETF,UCITS_ETF,UCITS_CONFIRMED_PRIMARY_EVIDENCE,CONFIRMED,CURRENT_DISCLOSURE_CONFIRMED,RULES_ELIGIBLE,CURRENT_CANDIDATE_UNVERIFIED,https://www.ssga.com/ie/en_gb/institutional/etfs/state-street-spdr-msci-europe-energy-ucits-etf-stn-fp,2026-08-22,HIGH_PRIMARY_ISSUER_AND_EXACT_ACTIVE_CATALOGUE,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,YES
EUROPE_EX_UK,Developed Europe excluding the UK,ALTERNATE,IE00BGV5VM45,XUEK,London Stock Exchange,XLON,GBP,GBX,ETF,NOT_VERIFIED,NOT_DETERMINED,CONFIRMED,DISCLOSURE_NOT_FOUND,UNCERTAIN,CURRENT_CANDIDATE_UNVERIFIED,https://api.londonstockexchange.com/api/v1/pages?path=live-markets%2Fmarket-data-dashboard%2Fprice-explorer&parameters=categories%3DETFS%26subcategories%3D15%26page%3D32%26size%3D100,2026-08-22,MEDIUM,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,YES
EUROPE_EX_UK,Developed Europe excluding the UK,PREFERRED,IE00BYX5K108,MXUK,London Stock Exchange,XLON,GBP,GBX,ETF,NOT_VERIFIED,NOT_DETERMINED,CONFIRMED,DISCLOSURE_NOT_FOUND,UNCERTAIN,CURRENT_CANDIDATE_UNVERIFIED,https://api.londonstockexchange.com/api/v1/pages?path=live-markets%2Fmarket-data-dashboard%2Fprice-explorer&parameters=categories%3DETFS%26subcategories%3D15%26page%3D12%26size%3D100,2026-08-22,MEDIUM,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,YES
EUROPE_FINANCIALS,Broad Europe financials sector,ALTERNATE,IE00BKWQ0G16,FNCL,London Stock Exchange,XLON,EUR,EUR,ETF,NOT_VERIFIED,NOT_DETERMINED,CONFIRMED,CURRENT_DISCLOSURE_CONFIRMED,UNCERTAIN,CURRENT_CANDIDATE_UNVERIFIED,NOT_VERIFIED,2026-08-22,HIGH_PRIMARY_ISSUER_AND_EXACT_ACTIVE_CATALOGUE,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,YES
EUROPE_FINANCIALS,Broad Europe financials sector,PREFERRED,IE00BKWQ0G16,FNCE,London Stock Exchange,XLON,GBP,GBP,ETF,NOT_VERIFIED,NOT_DETERMINED,CONFIRMED,CURRENT_DISCLOSURE_CONFIRMED,UNCERTAIN,CURRENT_CANDIDATE_UNVERIFIED,NOT_VERIFIED,2026-08-22,HIGH_PRIMARY_ISSUER_AND_EXACT_ACTIVE_CATALOGUE,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,YES
EUROPE_HEALTHCARE,Broad Europe healthcare sector,ALTERNATE,IE00BKWQ0H23,HLTH,London Stock Exchange,XLON,EUR,EUR,ETF,NOT_VERIFIED,NOT_DETERMINED,CONFIRMED,CURRENT_DISCLOSURE_CONFIRMED,UNCERTAIN,CURRENT_CANDIDATE_UNVERIFIED,NOT_VERIFIED,2026-08-22,HIGH_PRIMARY_ISSUER_AND_EXACT_ACTIVE_CATALOGUE,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,YES
EUROPE_HEALTHCARE,Broad Europe healthcare sector,PREFERRED,IE00BKWQ0H23,HEAE,London Stock Exchange,XLON,GBP,GBP,ETF,NOT_VERIFIED,NOT_DETERMINED,CONFIRMED,CURRENT_DISCLOSURE_CONFIRMED,UNCERTAIN,CURRENT_CANDIDATE_UNVERIFIED,NOT_VERIFIED,2026-08-22,HIGH_PRIMARY_ISSUER_AND_EXACT_ACTIVE_CATALOGUE,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,YES
EUROPE_INDUSTRIALS,Broad Europe industrials sector,PREFERRED,IE00BKWQ0J47,NDUS,LONDON STOCK EXCHANGE,XLON,EUR,EUR,ETF,UCITS_ETF,UCITS_CONFIRMED_PRIMARY_EVIDENCE,CONFIRMED,CURRENT_DISCLOSURE_CONFIRMED,RULES_ELIGIBLE,CURRENT_CANDIDATE_UNVERIFIED,https://www.ssga.com/dk/en_gb/institutional/etfs/state-street-spdr-msci-europe-industrials-ucits-etf-stq-fp,2026-08-22,HIGH_PRIMARY_ISSUER_AND_EXACT_ACTIVE_CATALOGUE,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,YES
EUROPE_INFRASTRUCTURE,Europe listed infrastructure,ALTERNATE,IE000TIZ5AP4,FTIE,London Stock Exchange,XLON,GBP,GBX,ETF,NOT_VERIFIED,NOT_DETERMINED,CONFIRMED,DISCLOSURE_NOT_FOUND,UNCERTAIN,CURRENT_CANDIDATE_UNVERIFIED,https://api.londonstockexchange.com/api/v1/pages?path=live-markets%2Fmarket-data-dashboard%2Fprice-explorer&parameters=categories%3DETFS%26subcategories%3D15%26page%3D4%26size%3D100,2026-08-22,MEDIUM,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,YES
