test_type,simulation_id,random_seed,valid_path,cagr,excess_vs_equal_family_pool_cagr,excess_vs_global_cagr,selected_vs_unselected_cagr_spread,monthly_endpoint_maximum_drawdown,switches,warning
RANDOM_SELECTION_FROM_CONTEMPORANEOUS_POOL,45,20260823,YES,0.007359908596440867,-0.10253973418806717,-0.10780463961647269,-0.11498850426581031,-0.3417298466756509,57,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
RANDOM_SELECTION_FROM_CONTEMPORANEOUS_POOL,46,20260823,YES,0.05611209706348652,-0.05378754572102151,-0.05905245114942703,-0.06520045948140751,-0.43237003103748195,50,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
RANDOM_SELECTION_FROM_CONTEMPORANEOUS_POOL,47,20260823,YES,-0.002683906251128465,-0.1125835490356365,-0.11784845446404202,-0.12785977742978127,-0.4945130582675834,59,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
RANDOM_SELECTION_FROM_CONTEMPORANEOUS_POOL,48,20260823,NO,,,,,,8,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
RANDOM_SELECTION_FROM_CONTEMPORANEOUS_POOL,49,20260823,YES,0.15683228363880564,0.0469326408542976,0.04166773542589208,0.041056989635192664,-0.29184929704321105,54,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
RANDOM_SELECTION_FROM_CONTEMPORANEOUS_POOL,50,20260823,NO,,,,,,2,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
RANDOM_SELECTION_FROM_CONTEMPORANEOUS_POOL,51,20260823,NO,,,,,,14,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
RANDOM_SELECTION_FROM_CONTEMPORANEOUS_POOL,52,20260823,YES,-0.011553847956221386,-0.12145349074072942,-0.12671839616913494,-0.136944891789754,-0.5193597840182884,55,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
RANDOM_SELECTION_FROM_CONTEMPORANEOUS_POOL,53,20260823,NO,,,,,,2,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
RANDOM_SELECTION_FROM_CONTEMPORANEOUS_POOL,54,20260823,YES,0.08933353969044333,-0.020566103094064703,-0.025831008522470222,-0.029482297121880663,-0.4886284185707951,58,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
RANDOM_SELECTION_FROM_CONTEMPORANEOUS_POOL,55,20260823,NO,,,,,,13,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
RANDOM_SELECTION_FROM_CONTEMPORANEOUS_POOL,56,20260823,YES,-0.042114953194064775,-0.1520145959785728,-0.15727950140697833,-0.16830748699089515,-0.633787287688928,51,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
RANDOM_SELECTION_FROM_CONTEMPORANEOUS_POOL,57,20260823,NO,,,,,,24,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
RANDOM_SELECTION_FROM_CONTEMPORANEOUS_POOL,58,20260823,NO,,,,,,4,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
RANDOM_SELECTION_FROM_CONTEMPORANEOUS_POOL,59,20260823,NO,,,,,,9,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
RANDOM_SELECTION_FROM_CONTEMPORANEOUS_POOL,60,20260823,YES,0.13551921407061096,0.025619571286102927,0.020354665857697407,0.022238182200461143,-0.2198759455400845,54,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
RANDOM_SELECTION_FROM_CONTEMPORANEOUS_POOL,61,20260823,YES,0.018262493980756966,-0.09163714880375107,-0.09690205423215659,-0.1035308525344103,-0.4051313779254705,58,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
RANDOM_SELECTION_FROM_CONTEMPORANEOUS_POOL,62,20260823,NO,,,,,,24,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
RANDOM_SELECTION_FROM_CONTEMPORANEOUS_POOL,63,20260823,YES,0.15751669491671327,0.04761705213220524,0.04235214670379972,0.04522664387369657,-0.24997267264270395,58,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
RANDOM_SELECTION_FROM_CONTEMPORANEOUS_POOL,64,20260823,YES,-0.040360430868961794,-0.15026007365346983,-0.15552497908187535,-0.16607777318734995,-0.42164899746504725,58,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
RANDOM_SELECTION_FROM_CONTEMPORANEOUS_POOL,65,20260823,YES,0.1293642343368826,0.019464591552374566,0.014199686123969046,0.015512121684972069,-0.3287226355509244,52,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
RANDOM_SELECTION_FROM_CONTEMPORANEOUS_POOL,66,20260823,NO,,,,,,15,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
RANDOM_SELECTION_FROM_CONTEMPORANEOUS_POOL,67,20260823,YES,0.04751075842580943,-0.062388884358698604,-0.06765378978710412,-0.0732496938026801,-0.5354961034671086,55,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
