module_id,exit_event_id,family,review_date,execution_date,action_type,from_weight,to_weight,risky_weight_reduced,counterfactual_end_date,reentry_review_date,xlon_sessions_until_reentry_or_cutoff,frozen_baseline_switch_review_date,frozen_baseline_switch_execution_proxy_date,selected_asset_return_if_held,actual_cash_return_on_reduced_capital,avoided_downside,foregone_upside,incremental_cost,net_exit_value,whipsaw_within_42_sessions,same_close_execution,warning
EXIT_A_50EMA,EXIT_A_50EMA_EXIT_042,GLOBAL_SILVER_MINERS,2026-03-13,2026-03-16,ABS_BELOW_EMA50,1.0,0.0,1.0,2026-04-01,,12,2026-03-31,2026-04-01,0.025741381905764582,0.0016059373405463706,0.0,0.02413544456521821,0.0020137652133079887,-0.0261492097785262,True,False,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_A_50EMA,EXIT_A_50EMA_EXIT_043,GLOBAL_OIL_GAS,2026-03-31,2026-04-01,MONTHLY_REENTRY_OR_SELECTION,0.0,1.0,0.0,2026-05-01,,20,2026-04-30,2026-05-01,-0.023880597014924843,0.003014476217601203,0.0,0.0,0.002013770873988975,-0.002013770873988975,False,False,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_A_50EMA,EXIT_A_50EMA_EXIT_044,GLOBAL_OIL_GAS,2026-04-17,2026-04-20,ABS_BELOW_EMA50,1.0,0.0,1.0,2026-05-01,,9,2026-04-30,2026-05-01,0.07213114754098382,0.0011043962021808351,0.0,0.07102675133880298,0.00201515590670811,-0.0730419072455111,True,False,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_A_50EMA,EXIT_A_50EMA_EXIT_045,GLOBAL_SEMICONDUCTORS,2026-04-30,2026-05-01,MONTHLY_REENTRY_OR_SELECTION,0.0,1.0,0.0,2026-08-21,,78,2026-08-21,2026-08-21,0.1440075198865256,0.011301531636533912,0.0,0.0,0.0020151697564717882,-0.0020151697564717882,False,False,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_A_50EMA,EXIT_A_50EMA_EXIT_046,GLOBAL_SEMICONDUCTORS,2026-07-17,2026-07-20,ABS_BELOW_EMA50,1.0,0.0,1.0,2026-08-21,,24,2026-08-21,2026-08-21,-0.028747951078048173,0.003216817254880766,0.03196476833292894,0.0,0.0020129049919438407,0.029951863340985097,False,False,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_B_21_WARNING_50_FAILURE,EXIT_B_21_WARNING_50_FAILURE_EXIT_001,GLOBAL_CYBERSECURITY,2021-08-31,2021-09-01,MONTHLY_REENTRY_OR_SELECTION,0.0,1.0,0.0,2021-10-01,,22,2021-09-30,2021-10-01,-0.033066444837266507,4.111110870108625e-05,0.0,0.0,0.0020159600000000002,-0.0020159600000000002,False,False,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_B_21_WARNING_50_FAILURE,EXIT_B_21_WARNING_50_FAILURE_EXIT_002,GLOBAL_OIL_GAS,2021-09-30,2021-10-01,MONTHLY_REENTRY_OR_SELECTION,0.0,1.0,0.0,2021-12-01,2022-01-31,43,2021-11-30,2021-12-01,0.054962128568654345,8.1079479504087e-05,0.0,0.0,0.0040330782598870215,-0.0040330782598870215,False,False,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_B_21_WARNING_50_FAILURE,EXIT_B_21_WARNING_50_FAILURE_EXIT_003,GLOBAL_OIL_GAS,2021-11-19,2021-11-22,ABS_BELOW_EMA50,1.0,0.0,1.0,2021-12-01,2022-01-31,7,2021-11-30,2021-12-01,0.014000373343288963,1.140290728729454e-05,0.0,0.013988970436001669,0.0020159613268137043,-0.016004931762815373,True,False,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_B_21_WARNING_50_FAILURE,EXIT_B_21_WARNING_50_FAILURE_EXIT_004,GLOBAL_SEMICONDUCTORS,2021-11-30,2021-12-01,MONTHLY_REENTRY_OR_SELECTION,0.0,1.0,0.0,2021-12-29,2021-12-24,18,2022-01-31,2022-02-01,-0.010351208087887254,8.657025833236354e-05,0.0,0.0,0.002015993386859644,-0.002015993386859644,False,False,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_B_21_WARNING_50_FAILURE,EXIT_B_21_WARNING_50_FAILURE_EXIT_005,GLOBAL_SEMICONDUCTORS,2021-12-17,2021-12-20,ABS_BELOW_EMA21,1.0,0.75,0.25,2021-12-29,2021-12-24,5,2022-01-31,2022-02-01,0.058193826493794454,4.754157216346755e-05,0.0,0.014536571230407747,0.0005171356658855005,-0.015053706896293248,True,False,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
