selection_rule,weighting_method,friction_bps_one_way,fixed_fee_per_trade_leg_gbp,sleeve_size_gbp,net_cagr,maximum_drawdown,sharpe_zero_cash_hurdle,annual_turnover_traded_notional,trade_legs,total_transaction_cost_rate,warning
TOP_2,SCORE_PROPORTIONAL_CAPPED,20,3.99,500000,0.20594556330045877,-0.30234134065862117,0.6958406884656964,9.75390301137643,168,0.09817123637908312,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_2,SCORE_PROPORTIONAL_CAPPED,40,3.99,100000,0.1816541658140629,-0.30236615028306857,0.6140001976352617,9.75390301137643,168,0.19937407010895775,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_2,SCORE_PROPORTIONAL_CAPPED,40,3.99,250000,0.1823035759784748,-0.3023557770127291,0.6161994851735341,9.75390301137643,168,0.19664131337167326,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_2,SCORE_PROPORTIONAL_CAPPED,40,3.99,500000,0.18251799756539433,-0.3023523587663961,0.6169256087277861,9.753903011376428,168,0.1957393136712517,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_2,INVERSE_VOLATILITY_CAPPED,10,3.99,100000,0.2171286237262926,-0.3023457794104131,0.7333258482011461,9.75390301137643,168,0.05217227565707241,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_2,INVERSE_VOLATILITY_CAPPED,10,3.99,250000,0.21763768877754597,-0.3023383391952267,0.7350388912042999,9.75390301137643,168,0.05008616792418317,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_2,INVERSE_VOLATILITY_CAPPED,10,3.99,500000,0.21780595210309217,-0.30233588368934483,0.7356050748246244,9.75390301137643,168,0.04939681183854595,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_2,INVERSE_VOLATILITY_CAPPED,20,3.99,100000,0.2052112524330072,-0.30235239212027454,0.6933636128168764,9.75390301137643,168,0.10120683739931978,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_2,INVERSE_VOLATILITY_CAPPED,20,3.99,250000,0.20576319045575242,-0.3023440819637181,0.6952255112632149,9.75390301137643,168,0.09892499946048958,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_2,INVERSE_VOLATILITY_CAPPED,20,3.99,500000,0.205945563300459,-0.30234134065862117,0.6958406884656969,9.75390301137643,168,0.09817123637908312,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_2,INVERSE_VOLATILITY_CAPPED,40,3.99,100000,0.1816541658140629,-0.30236615028306835,0.6140001976352617,9.75390301137643,168,0.19937407010895772,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_2,INVERSE_VOLATILITY_CAPPED,40,3.99,250000,0.18230357597847502,-0.3023557770127292,0.6161994851735347,9.75390301137643,168,0.1966413133716733,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_2,INVERSE_VOLATILITY_CAPPED,40,3.99,500000,0.18251799756539433,-0.3023523587663961,0.6169256087277861,9.75390301137643,168,0.1957393136712517,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_2,SIGNAL_X_INVERSE_VOLATILITY,10,3.99,100000,0.21712862372629238,-0.3023457794104132,0.7333258482011454,9.753903011376432,168,0.05217227565707242,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_2,SIGNAL_X_INVERSE_VOLATILITY,10,3.99,250000,0.2176376887775462,-0.3023383391952269,0.7350388912043004,9.753903011376432,168,0.050086167924183175,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_2,SIGNAL_X_INVERSE_VOLATILITY,10,3.99,500000,0.21780595210309284,-0.30233588368934494,0.7356050748246266,9.753903011376432,168,0.04939681183854595,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_2,SIGNAL_X_INVERSE_VOLATILITY,20,3.99,100000,0.20521125243300764,-0.30235239212027476,0.6933636128168781,9.753903011376432,168,0.10120683739931978,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_2,SIGNAL_X_INVERSE_VOLATILITY,20,3.99,250000,0.20576319045575264,-0.3023440819637182,0.6952255112632156,9.753903011376432,168,0.09892499946048958,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_2,SIGNAL_X_INVERSE_VOLATILITY,20,3.99,500000,0.205945563300459,-0.3023413406586214,0.6958406884656969,9.753903011376432,168,0.09817123637908313,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_2,SIGNAL_X_INVERSE_VOLATILITY,40,3.99,100000,0.18165416581406335,-0.30236615028306846,0.6140001976352633,9.753903011376432,168,0.19937407010895775,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_2,SIGNAL_X_INVERSE_VOLATILITY,40,3.99,250000,0.18230357597847502,-0.3023557770127293,0.6161994851735346,9.753903011376432,168,0.19664131337167326,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_2,SIGNAL_X_INVERSE_VOLATILITY,40,3.99,500000,0.18251799756539433,-0.3023523587663962,0.6169256087277861,9.753903011376432,168,0.1957393136712517,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_3,EQUAL,10,3.99,100000,0.2023462582123483,-0.25986754368615483,0.7957130699968413,9.121298092385178,247,0.05009306364782669,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_3,EQUAL,10,3.99,250000,0.2030068489030208,-0.2598675436861547,0.798313712568278,9.121298092385176,247,0.04735250778069724,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_3,EQUAL,10,3.99,500000,0.20322462664930252,-0.2598675436861547,0.7991710038488544,9.121298092385176,247,0.04644932519014424,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_3,EQUAL,20,3.99,100000,0.1913277639955664,-0.25986754368615494,0.7524411982735224,9.121298092385176,247,0.09599609110085874,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_3,EQUAL,20,3.99,250000,0.19203374138772422,-0.2598675436861547,0.7552260987439885,9.121298092385178,247,0.09304270738971211,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_3,EQUAL,20,3.99,500000,0.1922663992231357,-0.25986754368615494,0.7561438110120128,9.121298092385176,247,0.09206975572711125,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_3,EQUAL,40,3.99,100000,0.16953927970617544,-0.25986754368615483,0.6665757801054516,9.121298092385176,247,0.18789030646836977,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_3,EQUAL,40,3.99,250000,0.17034620835660563,-0.25986754368615483,0.6697684742232515,9.121298092385178,247,0.18445769520602945,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_3,EQUAL,40,3.99,500000,0.17061193153189236,-0.25986754368615483,0.6708197833692915,9.121298092385176,247,0.18332780083504605,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_3,RANK_DECAY,10,3.99,100000,0.22285023570939066,-0.27779313586132826,0.8077661956748708,8.93521216452762,247,0.04907530362380179,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_3,RANK_DECAY,10,3.99,250000,0.22350909326386925,-0.27778273397197384,0.8101515544104675,8.93521216452762,247,0.046387709532879955,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_3,RANK_DECAY,10,3.99,500000,0.2237262305676051,-0.2777793126079985,0.8109376261061327,8.93521216452762,247,0.04550225706409672,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_3,RANK_DECAY,20,3.99,100000,0.21186440918857663,-0.27783076953968033,0.7680788839136082,8.93521216452762,247,0.09406965111104297,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
