signal_id,signal_family,registry_class,universe_id,cohort_id,frequency_id,authorised_family_count,historical_eligibility_warning,date_pair_count,mean_rank_autocorrelation,median_rank_autocorrelation,mean_signal_autocorrelation,average_absolute_rank_change,mean_top_bucket_membership_turnover,mean_top_bucket_duration_observations,median_top_bucket_duration_observations,top_bucket_duration_run_count,status
ABOVE_GBP_CASH_210,CASH_RELATIVE_QUALIFICATION,SECONDARY_TRIGGERED_NEIGHBOURHOOD,CORE,GLOBAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,315,0.7082711047682687,0.735958296024894,0.7124315485784289,0.07378443874392379,0.5716338259441708,2.392156862745098,2.0,51,TESTED
ABOVE_GBP_CASH_294,CASH_RELATIVE_QUALIFICATION,SECONDARY_TRIGGERED_NEIGHBOURHOOD,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,1372,0.9050290846425886,1.0,0.900147330767054,0.0319417303046295,0.3400687830687831,4.120481927710843,2.0,83,TESTED
ABOVE_GBP_CASH_294,CASH_RELATIVE_QUALIFICATION,SECONDARY_TRIGGERED_NEIGHBOURHOOD,CORE,GLOBAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,315,0.8400477321648603,1.0,0.8306951702389824,0.05855759004257964,0.6761904761904761,1.8,1.0,45,TESTED
TREND_MA_210,TOTAL_RETURN_TREND_QUALIFICATION,SECONDARY_TRIGGERED_NEIGHBOURHOOD,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,1372,0.8036165224794372,0.845154254728517,0.8096364633201094,0.05296411288665867,0.3466958211856171,4.617021276595745,2.0,94,TESTED
TREND_MA_210,TOTAL_RETURN_TREND_QUALIFICATION,SECONDARY_TRIGGERED_NEIGHBOURHOOD,CORE,GLOBAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,315,0.619631817960818,0.6469466798999117,0.6482616664235666,0.09791681890075529,0.6639682539682539,2.0701754385964914,2.0,57,TESTED
TREND_MA_294,TOTAL_RETURN_TREND_QUALIFICATION,SECONDARY_TRIGGERED_NEIGHBOURHOOD,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,1372,0.8318570478100795,1.0,0.8383253207454746,0.044610500960979245,0.4051336146272855,3.6292134831460676,1.0,89,TESTED
TREND_MA_294,TOTAL_RETURN_TREND_QUALIFICATION,SECONDARY_TRIGGERED_NEIGHBOURHOOD,CORE,GLOBAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,315,0.696819260675112,0.6666666666666667,0.7158034294349378,0.07792506638443805,0.6097826086956522,2.142857142857143,1.0,42,TESTED
MOM_21,SIMPLE_TOTAL_RETURN_MOMENTUM,PRIMARY,CORE,GLOBAL_CATEGORY_NEUTRAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,1372,0.6534153823984516,0.707207211654432,0.7144353892515658,0.16181513550316848,0.5475796208317346,2.5593311758360304,2.0,1854,TESTED
MOM_21,SIMPLE_TOTAL_RETURN_MOMENTUM,PRIMARY,CORE,GLOBAL_CATEGORY_NEUTRAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,315,0.06615317506099118,0.09123600646581338,0.001251244807518415,0.3077968270594835,0.8550210736619588,1.3542168674698796,1.0,830,TESTED
MOM_63,SIMPLE_TOTAL_RETURN_MOMENTUM,PRIMARY,CORE,GLOBAL_CATEGORY_NEUTRAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,1372,0.8332418085763773,0.882630934856653,0.8944004577999964,0.09956401175356798,0.3817380985783764,3.8923705722070845,2.0,734,TESTED
MOM_63,SIMPLE_TOTAL_RETURN_MOMENTUM,PRIMARY,CORE,GLOBAL_CATEGORY_NEUTRAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,315,0.5541747672715606,0.5691947800919853,0.6322164795561181,0.1929663528706865,0.6627234382830427,1.921195652173913,1.0,368,TESTED
MOM_126,SIMPLE_TOTAL_RETURN_MOMENTUM,PRIMARY,CORE,GLOBAL_CATEGORY_NEUTRAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,1372,0.9075344002898021,0.9428571428571428,0.9393956705835568,0.06793057235801153,0.2820934227184227,5.297124600638978,3.0,313,TESTED
MOM_126,SIMPLE_TOTAL_RETURN_MOMENTUM,PRIMARY,CORE,GLOBAL_CATEGORY_NEUTRAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,315,0.7541431845751029,0.8089430894308944,0.7804960480623414,0.1310757391715941,0.5172089814946957,2.5833333333333335,2.0,156,TESTED
MOM_252,SIMPLE_TOTAL_RETURN_MOMENTUM,PRIMARY,CORE,GLOBAL_CATEGORY_NEUTRAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,1372,0.9538815269637949,0.9722838137472285,0.9751377329377652,0.03783537500750615,0.11833943833943834,13.545454545454545,5.0,66,TESTED
MOM_252,SIMPLE_TOTAL_RETURN_MOMENTUM,PRIMARY,CORE,GLOBAL_CATEGORY_NEUTRAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,315,0.8766686238788186,0.9095215712687867,0.9151933915368223,0.07702188162714478,0.3057231040564374,4.975609756097561,3.0,41,TESTED
MOM_12_1,TWELVE_MINUS_ONE_MOMENTUM,PRIMARY,CORE,GLOBAL_CATEGORY_NEUTRAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,1372,0.952788293114157,0.9690712159798718,0.9756455520708391,0.03920279629296024,0.1455921855921856,11.175,4.0,80,TESTED
MOM_12_1,TWELVE_MINUS_ONE_MOMENTUM,PRIMARY,CORE,GLOBAL_CATEGORY_NEUTRAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,315,0.8733709135566269,0.9112357604042227,0.9059151827411779,0.07633632157316368,0.35589947089947094,4.163265306122449,2.0,49,TESTED
MULTI_Z_21_63_126,MULTI_HORIZON_RELATIVE_STRENGTH,PRIMARY,CORE,GLOBAL_CATEGORY_NEUTRAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,1372,0.8086855372776904,0.8553310996918098,0.8625368081021866,0.10911516287302021,0.3960350741600741,3.5579399141630903,2.0,466,TESTED
MULTI_Z_21_63_126,MULTI_HORIZON_RELATIVE_STRENGTH,PRIMARY,CORE,GLOBAL_CATEGORY_NEUTRAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,315,0.5403974022478945,0.6004434589800444,0.5896846808497089,0.20389589181687628,0.6801988776014749,1.8401826484018264,1.0,219,TESTED
MULTI_Z_63_126_252,MULTI_HORIZON_RELATIVE_STRENGTH,PRIMARY,CORE,GLOBAL_CATEGORY_NEUTRAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,1372,0.9135840423946764,0.939865254726267,0.947753935345075,0.06333589972348755,0.1997069597069597,7.3884297520661155,3.0,121,TESTED
MULTI_Z_63_126_252,MULTI_HORIZON_RELATIVE_STRENGTH,PRIMARY,CORE,GLOBAL_CATEGORY_NEUTRAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,315,0.8055268920359402,0.8198116322621236,0.8482830193217993,0.11382520403573035,0.43410052910052904,3.4,2.0,60,TESTED
ABS_POS_126,ABSOLUTE_MOMENTUM_QUALIFICATION,PRIMARY,CORE,GLOBAL_CATEGORY_NEUTRAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,1372,0.7505818370904208,0.7952897602684296,0.808264434800205,0.05451365501584141,0.4550123487623488,3.2222222222222223,2.0,171,TESTED
