research_group_id,formation_horizon_sessions,global_parent_state,forward_horizon_sessions,family_observation_count,date_observation_count,mean_forward_relative_global,global_relative_hac_p_value,mean_forward_relative_parent,parent_relative_hac_p_value,parent_mapping_frozen_before_a3r1,warning
GEOGRAPHY,21,PARENT_ONLY,10,1599,581,-0.0006963196811896011,0.40741719244224495,0.00017214941382036648,0.7433739354275686,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,21,PARENT_ONLY,21,1582,572,-0.0008882952642843357,0.5415130639888637,0.0010891346785700771,0.2306813951075487,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,21,PARENT_ONLY,42,1583,569,-0.0006715380155953183,0.8075626705752627,0.003026661816239013,0.023865697045580832,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,21,PARENT_ONLY,63,1540,557,-0.0022512787095427247,0.5528938091393717,0.002723379443967088,0.14799165716676452,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,21,PARENT_ONLY,126,1486,543,-0.004035844923464662,0.5704560793856507,0.009806342184230495,0.004708492193527105,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
INDUSTRY,21,BOTH_STRONG,5,1451,552,-0.0017196409777111823,0.12549328245971153,-0.0014531816323905993,0.08130243287157218,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
INDUSTRY,21,BOTH_STRONG,10,1442,552,-0.0025117371861319315,0.14527187774982236,-0.0019925030933132127,0.09084223782847102,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
INDUSTRY,21,BOTH_STRONG,21,1438,550,-0.0025518582000548743,0.4017674621068459,-0.001587327415523469,0.4220834958560966,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
INDUSTRY,21,BOTH_STRONG,42,1413,545,-0.004346321376248193,0.421070333936997,-0.0032911575125558574,0.38707095614038023,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
INDUSTRY,21,BOTH_STRONG,63,1398,538,-0.01044854708853774,0.19037388219599438,-0.005350572085390068,0.3750510665340251,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
