evaluation_id,signal_id,signal_family,signal_role,registry_class,universe_id,primary_decision_universe,cohort_id,ranking_mode,frequency_id,forward_horizon_sessions,authorised_family_count,scheduled_observation_dates,overlapping_forward_returns,historical_eligibility_warning,status,benchmark_id,top_rank_vs_cross_section_median_observations,top_rank_vs_cross_section_median_hit_rate,top_rank_vs_equal_weight_observations,top_rank_vs_equal_weight_hit_rate,top_rank_vs_benchmark_observations,top_rank_vs_benchmark_hit_rate
A3EVAL-4822081C221CF62B,MOM_12_1,TWELVE_MINUS_ONE_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,WEEKLY_WEDNESDAY,21,38,1373,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,GLOBAL_ALL_WORLD,793,0.47793190416141235,793,0.49558638083228246,298,0.5100671140939598
A3EVAL-96544A6B49F51409,MOM_12_1,TWELVE_MINUS_ONE_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,WEEKLY_WEDNESDAY,42,38,1373,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,GLOBAL_ALL_WORLD,771,0.47470817120622566,771,0.49546044098573283,287,0.5261324041811847
A3EVAL-1EFF9B1B1463AEA4,MOM_12_1,TWELVE_MINUS_ONE_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,WEEKLY_WEDNESDAY,63,38,1373,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,GLOBAL_ALL_WORLD,748,0.45989304812834225,748,0.4852941176470588,277,0.48736462093862815
A3EVAL-0EF2DFC93511D522,MOM_12_1,TWELVE_MINUS_ONE_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,WEEKLY_WEDNESDAY,126,38,1373,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,GLOBAL_ALL_WORLD,677,0.5036927621861153,677,0.5361890694239291,251,0.5059760956175299
A3EVAL-53C9B7031CEAC8F6,MOM_12_1,TWELVE_MINUS_ONE_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,MONTH_END,1,38,316,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,GLOBAL_ALL_WORLD,187,0.5614973262032086,187,0.5454545454545454,72,0.5972222222222222
A3EVAL-1B1AC16720CA053A,MOM_12_1,TWELVE_MINUS_ONE_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,MONTH_END,5,38,316,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,GLOBAL_ALL_WORLD,186,0.510752688172043,186,0.5376344086021505,71,0.4647887323943662
A3EVAL-C5D8EDC1CF67DBAE,MOM_12_1,TWELVE_MINUS_ONE_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,MONTH_END,21,38,316,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,GLOBAL_ALL_WORLD,182,0.4725274725274725,182,0.5,69,0.5797101449275363
A3EVAL-BFAC931D0B45A6CF,MOM_12_1,TWELVE_MINUS_ONE_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,MONTH_END,42,38,316,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,GLOBAL_ALL_WORLD,178,0.48314606741573035,178,0.4887640449438202,67,0.5074626865671642
A3EVAL-C8CD9AD1BA08D7BD,MOM_12_1,TWELVE_MINUS_ONE_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,MONTH_END,63,38,316,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,GLOBAL_ALL_WORLD,173,0.4682080924855491,173,0.49710982658959535,64,0.46875
A3EVAL-93D2C35295FADA08,MOM_12_1,TWELVE_MINUS_ONE_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,MONTH_END,126,38,316,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,GLOBAL_ALL_WORLD,156,0.47435897435897434,156,0.5,58,0.5
