signal_id,signal_family,registry_class,universe_id,cohort_id,frequency_id,authorised_family_count,historical_eligibility_warning,persistence_horizon_sessions,date_pair_count,rank_autocorrelation_mean,rank_autocorrelation_median,rank_autocorrelation_valid_dates,mean_comparable_family_count,leader_observation_count,probability_leader_remains_above_median,probability_leader_remains_top_bucket,average_signed_rank_change,average_absolute_rank_change,status
ABS_POS_252,ABSOLUTE_MOMENTUM_QUALIFICATION,PRIMARY,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,63,1360,0.6075764009679667,0.6666666666666666,255,3.925,429,0.9557109557109557,0.351981351981352,0.00016981094908119718,0.10110521738420805,TESTED
ABS_POS_252,ABSOLUTE_MOMENTUM_QUALIFICATION,PRIMARY,CORE,GLOBAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,21,314,0.764731677556815,0.8189460428171356,58,4.089171974522293,91,0.967032967032967,0.5604395604395604,-8.760029547550256e-05,0.06731346803330035,TESTED
ABS_POS_252,ABSOLUTE_MOMENTUM_QUALIFICATION,PRIMARY,CORE,GLOBAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,42,313,0.7056657482438372,0.9432026302139591,58,4.003194888178914,91,0.967032967032967,0.4835164835164835,7.964663327396323e-05,0.08339498786336592,TESTED
ABS_POS_252,ABSOLUTE_MOMENTUM_QUALIFICATION,PRIMARY,CORE,GLOBAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,63,312,0.6412516076473961,0.7896900263943549,58,3.9166666666666665,91,0.9560439560439561,0.3626373626373626,0.00036763645674454975,0.09506209583732472,TESTED
ABOVE_GBP_CASH_126,CASH_RELATIVE_QUALIFICATION,PRIMARY,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,21,1369,0.5856452429914653,0.6580457492370624,362,5.636961285609934,638,0.9122257053291536,0.5219435736677116,-0.0003100479222620104,0.10806758980477156,TESTED
ABOVE_GBP_CASH_126,CASH_RELATIVE_QUALIFICATION,PRIMARY,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,42,1365,0.4355474972760199,0.511835416322421,306,4.863736263736263,535,0.9196261682242991,0.4,-0.001027995537381806,0.12702096587586606,TESTED
ABOVE_GBP_CASH_126,CASH_RELATIVE_QUALIFICATION,PRIMARY,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,63,1360,0.3271290522002616,0.3537905895840441,288,4.5926470588235295,511,0.8806262230919765,0.3522504892367906,-0.001073776696673611,0.1415649423411649,TESTED
ABOVE_GBP_CASH_126,CASH_RELATIVE_QUALIFICATION,PRIMARY,CORE,GLOBAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,21,314,0.6079260025769408,0.6666666666666666,87,5.920382165605096,188,0.8776595744680851,0.526595744680851,-0.00036966071659186116,0.11142075547189295,TESTED
ABOVE_GBP_CASH_126,CASH_RELATIVE_QUALIFICATION,PRIMARY,CORE,GLOBAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,42,313,0.431080759110517,0.46104921511201513,74,5.2300319488817895,153,0.8954248366013072,0.41830065359477125,-0.0013718783068920604,0.135842685514764,TESTED
ABOVE_GBP_CASH_126,CASH_RELATIVE_QUALIFICATION,PRIMARY,CORE,GLOBAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,63,312,0.3364284476720141,0.3508232077228118,67,4.55448717948718,137,0.8905109489051095,0.32116788321167883,-0.00036880800134961127,0.1462042134039863,TESTED
ABOVE_GBP_CASH_252,CASH_RELATIVE_QUALIFICATION,PRIMARY,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,21,1369,0.7339393958019411,0.7888106377466153,278,4.097881665449233,456,0.9539473684210527,0.581140350877193,-3.1008040705727585e-05,0.06967255753263021,TESTED
ABOVE_GBP_CASH_252,CASH_RELATIVE_QUALIFICATION,PRIMARY,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,42,1365,0.6439294931439649,0.6700593942604899,271,4.016849816849817,456,0.9583333333333334,0.4583333333333333,0.00019473851312791667,0.09027633792687922,TESTED
ABOVE_GBP_CASH_252,CASH_RELATIVE_QUALIFICATION,PRIMARY,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,63,1360,0.5999305192766636,0.66332495807108,265,3.925,456,0.9583333333333334,0.3991228070175439,0.0007201729015986168,0.1029627132238078,TESTED
ABOVE_GBP_CASH_252,CASH_RELATIVE_QUALIFICATION,PRIMARY,CORE,GLOBAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,21,314,0.7600693626671203,0.8071103080725959,60,4.089171974522293,95,0.9578947368421052,0.6210526315789474,-5.069560628933905e-05,0.06732626650679152,TESTED
ABOVE_GBP_CASH_252,CASH_RELATIVE_QUALIFICATION,PRIMARY,CORE,GLOBAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,42,313,0.714230606812603,0.8904162257139172,58,4.003194888178914,95,0.968421052631579,0.4631578947368421,0.0006150698765512991,0.08192925513384275,TESTED
ABOVE_GBP_CASH_252,CASH_RELATIVE_QUALIFICATION,PRIMARY,CORE,GLOBAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,63,312,0.614620381849889,0.6859943405700354,60,3.9166666666666665,95,0.9473684210526315,0.43157894736842106,0.0007973173307308079,0.0971904257190964,TESTED
TREND_MA_252,TOTAL_RETURN_TREND_QUALIFICATION,PRIMARY,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,21,1369,0.6481922048399525,0.6813851438692471,261,4.097881665449233,438,0.8858447488584474,0.5159817351598174,-0.0002285399912508741,0.0862434368342797,TESTED
TREND_MA_252,TOTAL_RETURN_TREND_QUALIFICATION,PRIMARY,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,42,1365,0.5549184392497745,0.6123724356957946,249,4.016849816849817,438,0.8835616438356164,0.3904109589041096,-0.0009313473940841735,0.10727830529735825,TESTED
TREND_MA_252,TOTAL_RETURN_TREND_QUALIFICATION,PRIMARY,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,63,1360,0.4734535644993722,0.5229763603684907,241,3.925,438,0.8881278538812786,0.3424657534246575,-0.0007790225938452302,0.12017881304238132,TESTED
TREND_MA_252,TOTAL_RETURN_TREND_QUALIFICATION,PRIMARY,CORE,GLOBAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,21,314,0.6271513850901974,0.6614378277661475,60,4.089171974522293,108,0.8888888888888888,0.4537037037037037,-0.00020055872344217554,0.09165486472503413,TESTED
TREND_MA_252,TOTAL_RETURN_TREND_QUALIFICATION,PRIMARY,CORE,GLOBAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,42,313,0.5901848144254207,0.6435546013708264,58,4.003194888178914,108,0.9537037037037037,0.49074074074074076,-0.0006315182332678417,0.10340838076251412,TESTED
TREND_MA_252,TOTAL_RETURN_TREND_QUALIFICATION,PRIMARY,CORE,GLOBAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,63,312,0.4937994130526902,0.44721359549995804,56,3.9166666666666665,108,0.9444444444444444,0.3055555555555556,-0.0007965936474433956,0.12349322051704964,TESTED
RISK_ADJ_MOM_126_VOL63,RISK_ADJUSTED_MOMENTUM,PRIMARY,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,21,1369,0.7202266990229226,0.8187618624311981,474,5.636961285609934,1602,0.8876404494382022,0.66541822721598,-0.0010549567974317384,0.1389268640187528,TESTED
RISK_ADJ_MOM_126_VOL63,RISK_ADJUSTED_MOMENTUM,PRIMARY,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,42,1365,0.542837417847789,0.6222910216718266,425,4.863736263736263,1358,0.8136966126656848,0.5456553755522827,-0.001912969601961703,0.19012532648437763,TESTED
RISK_ADJ_MOM_126_VOL63,RISK_ADJUSTED_MOMENTUM,PRIMARY,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,63,1360,0.3671992008809999,0.47475910129802684,399,4.5926470588235295,1273,0.7250589159465829,0.45718774548311075,-0.002494317122770371,0.2272038393946828,TESTED
RISK_ADJ_MOM_126_VOL63,RISK_ADJUSTED_MOMENTUM,PRIMARY,CORE,GLOBAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,21,314,0.7305443794609615,0.8172932330827067,112,5.920382165605096,389,0.9048843187660668,0.6812339331619537,-0.0007706240879605603,0.14369311311332716,TESTED
