evaluation_id,signal_id,signal_family,signal_role,registry_class,universe_id,primary_decision_universe,cohort_id,ranking_mode,frequency_id,forward_horizon_sessions,authorised_family_count,scheduled_observation_dates,overlapping_forward_returns,historical_eligibility_warning,status,spread_observation_count,spread_mean,spread_median,spread_standard_deviation,spread_information_ratio,spread_positive_frequency,spread_hac_lag,spread_hac_standard_error,spread_hac_t_statistic,spread_hac_p_value,spread_confidence_interval_low,spread_confidence_interval_high,mean_monotonicity_score,strict_monotonicity_frequency,benchmark_id
A3EVAL-18FC2D324207EAE9,MOM_126,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,MONTH_END,1,38,316,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,96,-0.0016952277646219236,-0.0008049022936802763,0.01065797719731796,-0.15905717691425736,0.4479166666666667,1,0.0010417365232706145,-1.6273095228528818,0.10367137641169058,-0.0037369938316123,0.0003465383023684527,0.4583333333333333,0.07291666666666667,GLOBAL_ALL_WORLD
A3EVAL-2E463D8EAAF82900,MOM_126,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,MONTH_END,5,38,316,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,91,-0.0016400993433702288,-0.002222261381655906,0.017613997728547815,-0.09311340722566601,0.46153846153846156,1,0.00174605900620225,-0.9393149587410062,0.347569060646705,-0.005062312110408438,0.0017821134236679801,0.5082417582417582,0.08791208791208792,GLOBAL_ALL_WORLD
A3EVAL-0E4B756D1FB2F4DC,MOM_126,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,MONTH_END,21,38,316,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,88,-0.0015020821515374712,0.00126920005340768,0.035227161601610386,-0.042639885907492604,0.5227272727272727,1,0.003418931121321191,-0.43934261856583284,0.6604132976488072,-0.008203064014950148,0.005198899711875205,0.4744318181818182,0.10227272727272728,GLOBAL_ALL_WORLD
A3EVAL-4A5012EB383419A9,MOM_126,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,MONTH_END,42,38,316,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,81,0.002929269449942977,0.0015544929621651472,0.04375226220976341,0.0669512683915417,0.5308641975308642,1,0.005361146630815045,0.5463886089415998,0.5847988385550577,-0.0075783848622927655,0.01343692376217872,0.5092592592592593,0.13580246913580246,GLOBAL_ALL_WORLD
A3EVAL-8227F77093B520EA,MOM_126,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,MONTH_END,63,38,316,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,74,0.005210546728626736,0.003961597972758118,0.05161883781731898,0.10094273619772415,0.5405405405405406,2,0.006940972905051587,0.7506940021094939,0.45283683352171145,-0.008393510182942727,0.018814603640196197,0.5135135135135135,0.0945945945945946,GLOBAL_ALL_WORLD
A3EVAL-0644CCFF2D20BD4B,MOM_126,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,MONTH_END,126,38,316,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,71,0.0010099694981653274,0.009153762407429343,0.0662409271841136,0.01524691065024141,0.5633802816901409,5,0.012663769610387942,0.07975267469623432,0.9364339644881801,-0.02381056284670787,0.025830501843038527,0.5563380281690141,0.09859154929577464,GLOBAL_ALL_WORLD
A3EVAL-4C0F92F4E21C1B04,MOM_252,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,WEEKLY_WEDNESDAY,1,38,1373,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,280,-6.939468640314485e-05,0.000444025003355238,0.008001727257611845,-0.008672463353100594,0.5178571428571429,1,0.0004915470160763913,-0.14117609126602904,0.887730833294593,-0.0010328091346210027,0.0008940197618147129,0.4982142857142857,0.10714285714285714,GLOBAL_ALL_WORLD
A3EVAL-6EFD4484B65F9487,MOM_252,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,WEEKLY_WEDNESDAY,5,38,1373,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,279,0.0002972993050704076,0.00038331677984278917,0.01882606868620527,0.015791895271701228,0.5017921146953405,1,0.0010794823984097356,0.27540912710423154,0.7830019327134811,-0.001818447317757592,0.0024130459278984074,0.489247311827957,0.11827956989247312,GLOBAL_ALL_WORLD
A3EVAL-E77CFE1BA1D02227,MOM_252,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,WEEKLY_WEDNESDAY,21,38,1373,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,276,0.0045509658951836335,0.0031582880749313124,0.033294654720705974,0.1366875834382323,0.532608695652174,4,0.0032911980977202203,1.3827687547389025,0.16673578237861686,-0.001899663842334736,0.011001595632702003,0.5063405797101449,0.13043478260869565,GLOBAL_ALL_WORLD
A3EVAL-9C065E0950698E54,MOM_252,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,WEEKLY_WEDNESDAY,42,38,1373,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,272,0.007471260737132002,0.0040865338162553895,0.0461177761724145,0.16200392467321442,0.5514705882352942,8,0.006152125154728042,1.2144194972025522,0.22458757383932715,-0.004586682994517867,0.01952920446878187,0.5220588235294118,0.15073529411764705,GLOBAL_ALL_WORLD
A3EVAL-B9C59C51B6997F98,MOM_252,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,WEEKLY_WEDNESDAY,63,38,1373,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,267,0.012550830723702633,0.013672909858408133,0.05473570450686224,0.22929878836453324,0.5655430711610487,12,0.008977077144671218,1.3980976793936533,0.16208373665579268,-0.005043917166290617,0.030145578613695885,0.552434456928839,0.15730337078651685,GLOBAL_ALL_WORLD
A3EVAL-D53737C39FB76DD0,MOM_252,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,WEEKLY_WEDNESDAY,126,38,1373,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,254,0.015388666782718632,0.0021647273040040944,0.0874843017263417,0.17590203589731657,0.5118110236220472,25,0.021167264753942292,0.7270030852641257,0.4672240657389658,-0.02609840978623235,0.056875743351669616,0.5226377952755905,0.14960629921259844,GLOBAL_ALL_WORLD
A3EVAL-58797A9EDE5AA055,MOM_252,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,MONTH_END,1,38,316,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,64,0.0014470029879756147,0.0015609839381090878,0.010274771812084641,0.1408306689861206,0.546875,1,0.0012190087305596201,1.1870325057568107,0.2352147990251755,-0.0009422102207611313,0.0038362161967123607,0.60546875,0.234375,GLOBAL_ALL_WORLD
A3EVAL-C613B54C1C3497CD,MOM_252,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,MONTH_END,5,38,316,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,64,0.0032439481428341095,0.0018437571918137124,0.018269053061550425,0.1775652044966368,0.578125,1,0.0021408042535883236,1.5152941411606147,0.12969793137879937,-0.0009519510921491572,0.007439847377817376,0.55078125,0.125,GLOBAL_ALL_WORLD
A3EVAL-163929FD130A778C,MOM_252,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,MONTH_END,21,38,316,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,63,0.004611005295466807,0.0028572861204937895,0.028434151474718485,0.16216433606491007,0.5873015873015873,1,0.003451783271220876,1.33583279515574,0.18160393110886053,-0.0021543655985639633,0.011376376189497578,0.503968253968254,0.09523809523809523,GLOBAL_ALL_WORLD
A3EVAL-CBCBE0C2DA866089,MOM_252,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,MONTH_END,42,38,316,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,62,0.006826869304119755,0.0067437770638833225,0.04129654443297259,0.16531333063957152,0.532258064516129,1,0.005918217155090259,1.1535347766426522,0.24869095193216895,-0.004772623172544253,0.018426361780783763,0.5080645161290323,0.12903225806451613,GLOBAL_ALL_WORLD
