analysis_context_id,robustness_variant_id,score_column,forward_horizon_sessions,observation_count,mean_top3_advantage_vs_global,median_top3_advantage_vs_global,positive_frequency,hac_t_statistic,hac_p_value,neighbourhood_not_optimisation_grid,warning
COUNTRY,RS42_CENTRAL_42,RANK_RS_42,42,212,0.008100548127520224,0.008844257476529949,0.5660377358490566,0.8664899524757796,0.3862215339654811,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,RS42_CENTRAL_42,RANK_RS_42,63,172,0.012999312945071648,0.009728439194571337,0.5523255813953488,0.8473022431097962,0.3968266766944518,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,RS42_NEIGHBOUR_52,RANK_RS_52,10,307,0.0013697562003901612,0.0012705141467164172,0.5179153094462541,0.6806485065319046,0.49609392632504434,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,RS42_NEIGHBOUR_52,RANK_RS_52,21,255,0.0042174264655141045,0.004359207447532931,0.5450980392156862,0.8865093990264908,0.3753430916117074,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,RS42_NEIGHBOUR_52,RANK_RS_52,42,202,0.011628412791647445,0.008777128165563863,0.5742574257425742,1.1897461802670934,0.23414616867399118,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,RS42_NEIGHBOUR_52,RANK_RS_52,63,166,0.01584485694885645,0.009152958968889569,0.5421686746987951,1.0391785661689632,0.2987216969154919,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,RS63_NEIGHBOUR_50,RANK_RS_50,10,308,0.0014352552531378725,0.0006613020862202834,0.512987012987013,0.7350897700762383,0.46228482413577276,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,RS63_NEIGHBOUR_50,RANK_RS_50,21,256,0.0036432843589152748,0.00380039406212318,0.53125,0.7545775221797991,0.4505025148557811,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,RS63_NEIGHBOUR_50,RANK_RS_50,42,202,0.010581287686245213,0.008323366535028298,0.5643564356435643,1.066616727274279,0.2861449438965943,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,RS63_NEIGHBOUR_50,RANK_RS_50,63,166,0.014626384847267661,0.004106745661187294,0.5240963855421686,0.9297118695640807,0.3525202872073975,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
