economic_exposure_family_id,audit_scope,before_valid_return_count,after_valid_return_count,before_first_valid_date,after_first_valid_date,before_history_sha256,after_history_sha256,overlap_valid_observations,max_absolute_return_difference_on_overlap,audit_result,warning
GLOBAL_AI,UNAFFECTED_REGRESSION_CONTROL,979,979,2022-09-16,2022-09-16,11f1c3266912f79521f0a9260daaf91bf460c4a425f90878f7e6a44281ffff59,11f1c3266912f79521f0a9260daaf91bf460c4a425f90878f7e6a44281ffff59,979,0.0,RETURN_IDENTICAL,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_ALL_WORLD,UNAFFECTED_REGRESSION_CONTROL,3569,3569,2012-05-28,2012-05-28,4194a38acaee8638b807b0d1a7ac14f2303ea5c224113ed6678ccbd0eaa87772,4194a38acaee8638b807b0d1a7ac14f2303ea5c224113ed6678ccbd0eaa87772,3569,0.0,RETURN_IDENTICAL,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_BANKS,BLOCKING_REMEDIATION,3370,0,2011-09-13,,c60a70f55fd885e33c59d8564f7530e88c0184ad4078dd96ccd058abce7f7d1c,c1e25af8c143b91c33ecf238bd6d71e7633bc4ce58d1b2ba0bcf6a141ba7d19e,0,,INTENTIONALLY_REMEDIATED,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_BATTERY_EV,UNAFFECTED_REGRESSION_CONTROL,2141,2141,2018-01-26,2018-01-26,3e5300ca6de20c2afa018583de1da7d1c7ba17e43a032ef4c83dca4983700734,3e5300ca6de20c2afa018583de1da7d1c7ba17e43a032ef4c83dca4983700734,2141,0.0,RETURN_IDENTICAL,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_BIOTECHNOLOGY,UNAFFECTED_REGRESSION_CONTROL,2701,2701,2014-11-12,2014-11-12,b89e54aa99e39442101a9521cf61af8ca5c50d28071aebca7faaaa036a3e85ec,b89e54aa99e39442101a9521cf61af8ca5c50d28071aebca7faaaa036a3e85ec,2701,0.0,RETURN_IDENTICAL,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_CLEAN_ENERGY,UNAFFECTED_REGRESSION_CONTROL,1445,1445,2020-11-02,2020-11-02,deeaf52b59b4baa0565b1079365bcce4ed3d57fa1fedced3d584ce36d7c603e1,deeaf52b59b4baa0565b1079365bcce4ed3d57fa1fedced3d584ce36d7c603e1,1445,0.0,RETURN_IDENTICAL,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_CORPORATE_IG_GBP_HEDGED,UNAFFECTED_REGRESSION_CONTROL,0,0,,,3ea26c88d647ea8f435d78b136094ef91f29bf8e1875db7f5ba8e6db6e42f2fc,3ea26c88d647ea8f435d78b136094ef91f29bf8e1875db7f5ba8e6db6e42f2fc,0,,RETURN_IDENTICAL,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_CYBERSECURITY,UNAFFECTED_REGRESSION_CONTROL,1548,1548,2020-06-03,2020-06-03,8ff68f13ba65a925c13d1837d0952d29d6dc66caddff317eb31d48c3a7526681,8ff68f13ba65a925c13d1837d0952d29d6dc66caddff317eb31d48c3a7526681,1548,0.0,RETURN_IDENTICAL,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_DEVELOPED_WORLD,UNAFFECTED_REGRESSION_CONTROL,3874,3874,2010-01-08,2010-01-08,48f61638cb55bc950c546db8e0c57d867e57c3488245a53bfcc6c1aaaed511ee,48f61638cb55bc950c546db8e0c57d867e57c3488245a53bfcc6c1aaaed511ee,3874,0.0,RETURN_IDENTICAL,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
GLOBAL_DEVELOPED_WORLD_EUR_HEDGED,UNAFFECTED_REGRESSION_CONTROL,3695,3695,2010-10-26,2010-10-26,f34a77f58e3a407bb444aaadf05ecdc64f1a9671ba55907f39f1b1eaeb730283,f34a77f58e3a407bb444aaadf05ecdc64f1a9671ba55907f39f1b1eaeb730283,3695,0.0,RETURN_IDENTICAL,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY
