module_id,date,portfolio_value,invested_fraction,cash_fraction,cash_value,cash_return_contribution,cumulative_cash_return_contribution,data_valid,warning
VOL_TARGET_0_125,2026-01-20,1.5839950754622798,0.2926023370836125,0.7073976629163875,1.1205144144530836,7.093317819397128e-05,0.08107968266439823,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2026-01-21,1.5878026487151446,0.2942279887056232,0.7057720112943767,1.1206266689222264,7.086794074154408e-05,0.08115055060513977,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2026-01-22,1.6064541556717764,0.3023523606437264,0.6976476393562736,1.1207389494384905,7.071440292341429e-05,0.08122126500806319,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2026-01-23,1.6163371622796787,0.3065485909689174,0.6934514090310826,1.1208512826521448,6.992618697379615e-05,0.08129119119503699,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2026-01-26,1.6393472467784276,0.31607632459943585,0.6839236754005641,1.1211883942744978,0.00020856516215805274,0.08149975635719504,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2026-01-27,1.6048864700684375,0.30132081584119297,0.6986791841588069,1.1213007695749235,6.854880846420591e-05,0.08156830516565924,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2026-01-28,1.617713249662949,0.3067911463998902,0.6932088536001098,1.121413147252561,7.00221976653005e-05,0.08163832736332455,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2026-01-29,1.6025432795956542,0.3001589867967897,0.6998410132032103,1.1215255124942183,6.945930725402927e-05,0.08170778667057858,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2026-01-30,1.5604413334687517,0.2812047066589265,0.7187952933410734,1.1216378860322072,7.012199883751543e-05,0.0817779086694161,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2026-02-02,1.5318995199329553,0.250606157260201,0.7493938427397989,1.1479960679338106,0.00021612501667058238,0.08199403368608668,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2026-02-03,1.5606929823585995,0.26435811133652076,0.7356418886634792,1.1481111331661182,7.511278044703532e-05,0.08206914646653371,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2026-02-04,1.5515418285380684,0.259945050264302,0.740054949735698,1.1482262099315732,7.37344030861592e-05,0.08214288086961986,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2026-02-05,1.5368778806890637,0.2528090046542515,0.7471909953457485,1.148341313396926,7.418650482744169e-05,0.08221706737444731,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2026-02-06,1.5490156760772462,0.2585895123131952,0.7414104876868047,1.1484564678349367,7.492751340728493e-05,0.0822919948878546,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2026-02-09,1.5727613823652262,0.26956369705987854,0.7304363029401214,1.1488020095418505,0.0002230717947211908,0.0825150666825758,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2026-02-10,1.5731111498752193,0.269652885603871,0.730347114396129,1.1489171889357428,7.323386445250728e-05,0.0825883005470283,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_125,2026-02-11,1.5769797476397418,0.2713715071088249,0.728628492891175,1.1490323768426507,7.322299312228226e-05,0.08266152354015058,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
